Primary_Guest_Name,last_stay,frequency,monetary,avg_nights,n_special_req,cancel_rate,recency_days,R,F,M,RFM_Score,Tier
Guest_000153,2023-08-01,2,7649.37,1.0,1.5,0.3333333333333333,153,4,5,3,12,Loyal
Guest_000155,2023-08-12,1,11410.32,3.0,1.0,0.0,142,4,1,4,9,New
Guest_000184,2023-12-22,1,3841.25,1.0,3.0,0.0,10,5,1,1,7,New
Guest_000186,2023-07-04,1,18019.75,6.0,1.0,0.0,181,4,1,5,10,New
Guest_000187,2023-03-24,1,31954.51,7.0,3.0,0.0,283,3,1,5,9,New
Guest_000195,2022-10-02,2,12616.25,1.5,1.5,0.0,456,2,5,4,11,At Risk
Guest_000200,2022-01-14,1,24138.71,6.0,1.0,0.0,717,1,1,5,7,Lapsed
Guest_000202,2023-03-18,1,8787.54,2.0,5.0,0.0,289,3,1,3,7,New
Guest_000203,2022-02-11,1,6895.44,2.0,1.0,0.0,689,1,1,2,4,Lapsed
Guest_000204,2022-05-21,1,12280.5,3.0,1.0,0.0,590,1,1,4,6,Lapsed
Guest_000212,2022-06-16,1,6374.86,2.0,0.0,0.0,564,1,1,2,4,Lapsed
Guest_000213,2023-09-06,1,7290.95,2.0,1.0,0.0,117,5,1,3,9,New
Guest_000220,2022-11-30,1,9867.78,3.0,0.0,0.0,397,3,1,3,7,New
Guest_000228,2022-07-09,1,7017.4,2.0,1.0,0.0,541,2,1,3,6,Lapsed
Guest_000231,2022-05-08,1,3476.12,1.0,3.0,0.0,603,1,1,1,3,Lapsed
Guest_000232,2023-10-22,2,73070.16,6.5,1.0,0.0,71,5,5,5,15,VIP
Guest_000234,2022-08-13,1,24631.29,6.0,2.0,0.0,506,2,1,5,8,Lapsed
Guest_000250,2022-07-26,1,23128.56,6.0,1.0,0.0,524,2,1,5,8,Lapsed
Guest_000255,2023-05-06,1,29775.2,5.0,1.0,0.0,240,4,1,5,10,New
Guest_000261,2023-11-18,1,12354.92,2.0,1.0,0.0,44,5,1,4,10,New
Guest_000277,2022-10-09,1,25446.05,7.0,1.0,0.0,449,2,1,5,8,Lapsed
Guest_000280,2022-02-23,1,7041.06,2.0,0.0,0.0,677,1,1,3,5,Lapsed
Guest_000284,2023-04-20,1,8705.32,3.0,2.0,0.0,256,4,1,3,8,New
Guest_000286,2023-05-22,1,10244.06,4.0,0.0,0.0,224,4,1,4,9,New
Guest_000290,2023-09-12,1,3037.6,1.0,1.0,0.0,111,5,1,1,7,New
Guest_000295,2022-07-17,1,3758.42,1.0,1.0,0.0,533,2,1,1,4,Lapsed
Guest_000311,2023-08-06,1,4587.82,1.0,3.0,0.0,148,4,1,2,7,New
Guest_000323,2022-03-16,1,5810.29,2.0,1.0,0.0,656,1,1,2,4,Lapsed
Guest_000324,2023-09-10,1,4953.58,1.0,0.0,0.0,113,5,1,2,8,New
Guest_000340,2022-09-06,1,10651.85,2.0,1.0,0.0,482,2,1,4,7,Lapsed
Guest_000344,2023-04-10,1,20565.89,6.0,1.0,0.0,266,4,1,5,10,New
Guest_000347,2022-01-26,1,16637.15,5.0,3.0,0.0,705,1,1,5,7,Lapsed
Guest_000353,2023-09-17,1,11540.23,2.0,0.0,0.0,106,5,1,4,10,New
Guest_000354,2022-10-24,1,3565.77,1.0,2.0,0.0,434,2,1,1,4,Lapsed
Guest_000366,2022-05-01,1,3921.9,1.0,0.0,0.0,610,1,1,1,3,Lapsed
Guest_000371,2023-03-14,1,3105.83,1.0,1.0,0.0,293,3,1,1,5,New
Guest_000374,2022-07-07,1,10853.07,3.0,1.0,0.0,543,2,1,4,7,Lapsed
Guest_000376,2023-11-25,1,3598.0,1.0,0.0,0.0,37,5,1,1,7,New
Guest_000379,2023-09-09,1,5412.1,1.0,0.0,0.0,114,5,1,2,8,New
Guest_000384,2022-05-12,1,6823.78,2.0,1.0,0.0,599,1,1,2,4,Lapsed
Guest_000386,2023-10-27,2,12417.689999999999,1.5,1.0,0.3333333333333333,66,5,5,4,14,VIP
Guest_000392,2023-12-30,1,4388.83,1.0,0.0,0.0,2,5,1,2,8,New
Guest_000394,2023-09-17,1,17922.55,4.0,0.0,0.0,106,5,1,5,11,New
Guest_000401,2023-12-18,1,3515.41,1.0,0.0,0.0,14,5,1,1,7,New
Guest_000412,2023-04-06,2,8535.04,1.0,1.5,0.3333333333333333,270,4,5,3,12,Loyal
Guest_000415,2022-12-21,1,5672.52,1.0,4.0,0.0,376,3,1,2,6,New
Guest_000417,2022-08-06,1,3707.82,1.0,1.0,0.0,513,2,1,1,4,Lapsed
Guest_000418,2023-03-25,1,17135.93,6.0,1.0,0.0,282,3,1,5,9,New
Guest_000433,2023-11-09,1,10282.29,2.0,3.0,0.0,53,5,1,4,10,New
Guest_000434,2023-12-22,1,6339.85,1.0,1.0,0.0,10,5,1,2,8,New
Guest_000440,2022-03-18,1,3417.32,1.0,2.0,0.0,654,1,1,1,3,Lapsed
Guest_000458,2023-12-22,1,11321.32,3.0,1.0,0.0,10,5,1,4,10,New
Guest_000463,2023-08-17,2,27446.66,4.0,2.0,0.0,137,4,5,5,14,VIP
Guest_000465,2022-08-01,1,3520.63,1.0,4.0,0.0,518,2,1,1,4,Lapsed
Guest_000470,2023-07-23,1,6041.21,2.0,1.0,0.0,162,4,1,2,7,New
Guest_000487,2023-09-15,2,21380.370000000003,2.5,0.5,0.0,108,5,5,5,15,VIP
Guest_000488,2022-11-19,1,3545.54,1.0,1.0,0.0,408,3,1,1,5,New
Guest_000489,2022-08-28,1,3541.55,1.0,3.0,0.0,491,2,1,1,4,Lapsed
Guest_000495,2023-03-28,1,3541.88,1.0,1.0,0.0,279,3,1,1,5,New
Guest_000504,2022-03-19,1,4068.58,1.0,1.0,0.0,653,1,1,2,4,Lapsed
Guest_000519,2023-12-14,1,27187.16,7.0,0.0,0.0,18,5,1,5,11,New
Guest_000527,2022-06-04,1,3675.12,1.0,2.0,0.0,576,1,1,1,3,Lapsed
Guest_000533,2022-10-07,1,14488.36,4.0,1.0,0.0,451,2,1,4,7,Lapsed
Guest_000538,2022-07-11,1,3452.25,1.0,0.0,0.0,539,2,1,1,4,Lapsed
Guest_000541,2022-09-25,1,5915.39,2.0,0.0,0.0,463,2,1,2,5,Lapsed
Guest_000545,2023-04-07,2,12104.42,1.5,0.5,0.0,269,4,5,4,13,VIP
Guest_000546,2022-09-30,1,12877.63,2.0,1.0,0.0,458,2,1,4,7,Lapsed
Guest_000551,2022-12-04,1,11532.02,3.0,0.0,0.0,393,3,1,4,8,New
Guest_000563,2023-09-28,1,6288.2,2.0,0.0,0.0,95,5,1,2,8,New
Guest_000564,2023-08-25,2,25625.05,2.5,1.5,0.3333333333333333,129,4,5,5,14,VIP
Guest_000574,2022-12-12,1,5395.49,1.0,1.0,0.0,385,3,1,2,6,New
Guest_000579,2022-07-20,1,2926.55,1.0,0.0,0.0,530,2,1,1,4,Lapsed
Guest_000583,2023-01-23,1,6011.44,2.0,0.0,0.5,343,3,1,2,6,New
Guest_000587,2023-11-01,1,3431.33,1.0,0.0,0.0,61,5,1,1,7,New
Guest_000600,2023-06-22,1,7256.1,2.0,1.0,0.0,193,4,1,3,8,New
Guest_000605,2022-02-22,1,18203.63,4.0,2.0,0.0,678,1,1,5,7,Lapsed
Guest_000609,2023-12-27,1,6973.5,2.0,0.0,0.5,5,5,1,3,9,New
Guest_000610,2023-11-06,2,12403.5,1.5,2.5,0.0,56,5,5,4,14,VIP
Guest_000615,2022-09-06,1,3859.88,1.0,1.0,0.0,482,2,1,1,4,Lapsed
Guest_000619,2023-01-01,1,10865.08,2.0,3.0,0.0,365,3,1,4,8,New
Guest_000624,2022-08-21,1,4145.65,1.0,0.0,0.0,498,2,1,2,5,Lapsed
Guest_000631,2023-04-02,1,12884.73,3.0,0.0,0.0,274,3,1,4,8,New
Guest_000632,2022-03-18,1,4067.21,1.0,0.0,0.0,654,1,1,2,4,Lapsed
Guest_000638,2023-10-31,1,9830.99,3.0,0.0,0.0,62,5,1,3,9,New
Guest_000644,2022-08-01,1,3459.94,1.0,0.0,0.0,518,2,1,1,4,Lapsed
Guest_000654,2022-02-07,1,10158.59,3.0,0.0,0.0,693,1,1,4,6,Lapsed
Guest_000655,2023-08-15,1,11001.18,4.0,4.0,0.0,139,4,1,4,9,New
Guest_000671,2023-04-22,1,8994.54,2.0,0.0,0.0,254,4,1,3,8,New
Guest_000672,2022-01-01,1,7754.23,2.0,0.0,0.0,730,1,1,3,5,Lapsed
Guest_000698,2023-02-23,1,3888.08,1.0,1.0,0.0,312,3,1,1,5,New
Guest_000708,2023-02-09,1,6960.89,2.0,0.0,0.0,326,3,1,3,7,New
Guest_000721,2023-10-20,2,11732.0,1.5,2.0,0.3333333333333333,73,5,5,4,14,VIP
Guest_000729,2023-08-14,1,2735.05,1.0,0.0,0.0,140,4,1,1,6,New
Guest_000745,2023-04-01,1,5580.27,1.0,0.0,0.0,275,3,1,2,6,New
Guest_000750,2022-07-08,1,7925.12,2.0,0.0,0.0,542,2,1,3,6,Lapsed
Guest_000752,2022-03-23,1,5609.12,1.0,0.0,0.0,649,1,1,2,4,Lapsed
Guest_000755,2022-07-14,1,6557.06,2.0,2.0,0.0,536,2,1,2,5,Lapsed
Guest_000761,2023-08-13,1,7490.6,2.0,0.0,0.0,141,4,1,3,8,New
Guest_000763,2022-09-20,1,4135.86,1.0,0.0,0.0,468,2,1,2,5,Lapsed
Guest_000767,2022-09-03,1,26092.89,6.0,0.0,0.0,485,2,1,5,8,Lapsed
Guest_000779,2022-12-19,1,12132.69,3.0,2.0,0.0,378,3,1,4,8,New
Guest_000781,2022-09-30,1,15883.56,3.0,1.0,0.0,458,2,1,5,8,Lapsed
Guest_000784,2022-01-21,1,15169.59,4.0,2.0,0.0,710,1,1,5,7,Lapsed
Guest_000787,2022-12-09,1,4216.06,1.0,0.0,0.0,388,3,1,2,6,New
Guest_000788,2023-12-07,1,5155.19,1.0,1.0,0.5,25,5,1,2,8,New
Guest_000790,2023-02-27,2,11546.61,1.5,0.0,0.0,308,3,5,4,12,Lapsed
Guest_000791,2022-04-07,1,18236.01,5.0,4.0,0.0,634,1,1,5,7,Lapsed
Guest_000795,2023-11-13,1,7181.13,2.0,2.0,0.0,49,5,1,3,9,New
Guest_000797,2023-08-05,1,6164.65,1.0,0.0,0.0,149,4,1,2,7,New
Guest_000804,2022-05-18,1,3350.08,1.0,1.0,0.0,593,1,1,1,3,Lapsed
Guest_000808,2023-04-18,1,23568.14,7.0,1.0,0.5,258,4,1,5,10,New
Guest_000813,2022-08-05,1,6555.32,2.0,1.0,0.0,514,2,1,2,5,Lapsed
Guest_000817,2023-02-18,1,18183.76,5.0,1.0,0.0,317,3,1,5,9,New
Guest_000836,2022-01-14,1,25063.77,7.0,0.0,0.0,717,1,1,5,7,Lapsed
Guest_000843,2023-09-22,1,8865.96,2.0,2.0,0.0,101,5,1,3,9,New
Guest_000844,2022-12-20,1,14898.6,4.0,0.0,0.5,377,3,1,4,8,New
Guest_000847,2022-09-24,1,4273.58,1.0,2.0,0.0,464,2,1,2,5,Lapsed
Guest_000857,2023-11-22,1,10141.25,3.0,1.0,0.0,40,5,1,4,10,New
Guest_000864,2023-10-30,1,3738.64,1.0,0.0,0.0,63,5,1,1,7,New
Guest_000869,2023-10-22,1,31092.5,7.0,0.0,0.0,71,5,1,5,11,New
Guest_000870,2023-11-06,1,11279.35,3.0,1.0,0.0,56,5,1,4,10,New
Guest_000879,2023-04-14,1,11887.14,2.0,1.0,0.0,262,4,1,4,9,New
Guest_000883,2023-08-14,1,6370.27,2.0,0.0,0.0,140,4,1,2,7,New
Guest_000886,2022-05-16,1,3304.65,1.0,2.0,0.5,595,1,1,1,3,Lapsed
Guest_000899,2022-03-12,1,3655.86,1.0,0.0,0.0,660,1,1,1,3,Lapsed
Guest_000901,2022-09-18,1,13606.75,4.0,0.0,0.0,470,2,1,4,7,Lapsed
Guest_000902,2023-12-25,1,20413.48,4.0,0.0,0.0,7,5,1,5,11,New
Guest_000905,2022-07-16,1,4199.08,1.0,2.0,0.0,534,2,1,2,5,Lapsed
Guest_000913,2022-04-06,1,19456.02,5.0,2.0,0.5,635,1,1,5,7,Lapsed
Guest_000914,2022-07-16,1,9361.23,2.0,1.0,0.0,534,2,1,3,6,Lapsed
Guest_000922,2023-12-19,1,4828.15,1.0,1.0,0.0,13,5,1,2,8,New
Guest_000933,2022-09-02,1,8444.6,2.0,0.0,0.0,486,2,1,3,6,Lapsed
Guest_000935,2022-11-19,2,23734.08,3.0,1.0,0.0,408,3,5,5,13,VIP
Guest_000943,2022-03-11,1,12236.52,3.0,2.0,0.0,661,1,1,4,6,Lapsed
Guest_000950,2022-09-11,1,4353.92,1.0,0.0,0.0,477,2,1,2,5,Lapsed
Guest_000953,2023-04-17,1,3646.19,1.0,3.0,0.0,259,4,1,1,6,New
Guest_000955,2022-01-18,1,3487.68,1.0,5.0,0.0,713,1,1,1,3,Lapsed
Guest_000968,2022-06-30,1,6461.82,2.0,1.0,0.0,550,2,1,2,5,Lapsed
Guest_000972,2023-12-29,1,10590.55,3.0,0.0,0.0,3,5,1,4,10,New
Guest_000985,2023-05-28,1,7614.81,2.0,0.0,0.0,218,4,1,3,8,New
Guest_000993,2022-10-09,1,12892.92,3.0,2.0,0.0,449,2,1,4,7,Lapsed
Guest_001002,2023-12-10,1,13766.02,3.0,0.0,0.0,22,5,1,4,10,New
Guest_001011,2022-04-23,1,4610.29,1.0,2.0,0.0,618,1,1,2,4,Lapsed
Guest_001023,2023-03-19,2,21343.13,3.0,2.0,0.0,288,3,5,5,13,VIP
Guest_001030,2023-07-21,1,9184.04,2.0,3.0,0.5,164,4,1,3,8,New
Guest_001031,2023-07-01,1,8496.61,2.0,1.0,0.5,184,4,1,3,8,New
Guest_001032,2023-02-18,1,3663.13,1.0,1.0,0.0,317,3,1,1,5,New
Guest_001040,2023-04-09,1,4385.94,1.0,1.0,0.0,267,4,1,2,7,New
Guest_001042,2023-04-21,1,16471.66,4.0,3.0,0.0,255,4,1,5,10,New
Guest_001047,2022-12-23,1,4271.21,1.0,2.0,0.0,374,3,1,2,6,New
Guest_001053,2022-01-31,1,19631.99,7.0,0.0,0.0,700,1,1,5,7,Lapsed
Guest_001059,2023-03-30,1,3253.75,1.0,1.0,0.0,277,3,1,1,5,New
Guest_001066,2023-04-14,1,8287.66,2.0,0.0,0.0,262,4,1,3,8,New
Guest_001067,2023-11-11,1,13380.26,3.0,1.0,0.0,51,5,1,4,10,New
Guest_001069,2023-04-08,1,3924.66,1.0,1.0,0.0,268,4,1,1,6,New
Guest_001072,2023-09-27,2,6085.860000000001,1.0,0.5,0.0,96,5,5,2,12,Loyal
Guest_001074,2023-07-21,1,8752.4,2.0,4.0,0.0,164,4,1,3,8,New
Guest_001080,2022-05-17,1,6258.9,2.0,1.0,0.0,594,1,1,2,4,Lapsed
Guest_001086,2023-03-23,2,17587.260000000002,2.5,3.0,0.0,284,3,5,5,13,VIP
Guest_001088,2022-07-14,1,7295.64,2.0,0.0,0.0,536,2,1,3,6,Lapsed
Guest_001092,2022-01-24,1,6006.27,2.0,0.0,0.0,707,1,1,2,4,Lapsed
Guest_001096,2023-08-14,2,22721.15,3.0,2.0,0.0,140,4,5,5,14,VIP
Guest_001101,2022-02-27,1,4893.82,1.0,0.0,0.0,673,1,1,2,4,Lapsed
Guest_001104,2023-12-24,1,9071.31,2.0,3.0,0.0,8,5,1,3,9,New
Guest_001105,2023-10-23,2,10179.130000000001,1.5,3.5,0.0,70,5,5,4,14,VIP
Guest_001112,2022-04-18,1,3820.28,1.0,2.0,0.5,623,1,1,1,3,Lapsed
Guest_001116,2022-05-15,1,7905.77,2.0,0.0,0.0,596,1,1,3,5,Lapsed
Guest_001123,2022-09-08,1,12799.58,4.0,2.0,0.0,480,2,1,4,7,Lapsed
Guest_001133,2023-12-15,1,7369.04,2.0,0.0,0.5,17,5,1,3,9,New
Guest_001138,2023-11-18,1,3946.67,1.0,3.0,0.5,44,5,1,1,7,New
Guest_001177,2022-02-01,1,3308.16,1.0,3.0,0.5,699,1,1,1,3,Lapsed
Guest_001205,2023-10-07,1,12385.6,3.0,0.0,0.0,86,5,1,4,10,New
Guest_001209,2023-08-30,1,5324.07,1.0,0.0,0.0,124,4,1,2,7,New
Guest_001213,2023-05-14,1,4821.5,1.0,0.0,0.0,232,4,1,2,7,New
Guest_001216,2022-09-27,1,3632.76,1.0,4.0,0.0,461,2,1,1,4,Lapsed
Guest_001225,2022-06-25,1,10182.75,3.0,2.0,0.0,555,2,1,4,7,Lapsed
Guest_001234,2023-09-21,1,3428.63,1.0,2.0,0.0,102,5,1,1,7,New
Guest_001238,2023-06-06,1,19992.86,7.0,0.0,0.0,209,4,1,5,10,New
Guest_001242,2023-09-07,1,5551.82,1.0,0.0,0.0,116,5,1,2,8,New
Guest_001246,2022-03-04,1,8566.25,2.0,1.0,0.0,668,1,1,3,5,Lapsed
Guest_001249,2022-08-14,1,4122.65,1.0,2.0,0.0,505,2,1,2,5,Lapsed
Guest_001250,2023-12-14,1,19653.55,7.0,0.0,0.0,18,5,1,5,11,New
Guest_001251,2023-03-03,1,8339.23,2.0,1.0,0.0,304,3,1,3,7,New
Guest_001260,2023-02-24,1,4051.38,1.0,2.0,0.0,311,3,1,2,6,New
Guest_001263,2023-12-10,2,11063.14,1.5,0.0,0.0,22,5,5,4,14,VIP
Guest_001276,2023-04-12,1,3818.65,1.0,1.0,0.0,264,4,1,1,6,New
Guest_001283,2023-11-11,1,15148.58,4.0,1.0,0.0,51,5,1,4,10,New
Guest_001285,2022-02-25,2,18487.86,2.0,1.0,0.3333333333333333,675,1,5,5,11,At Risk
Guest_001304,2023-08-25,1,4173.57,1.0,0.0,0.0,129,4,1,2,7,New
Guest_001311,2022-04-07,1,4551.66,1.0,2.0,0.0,634,1,1,2,4,Lapsed
Guest_001313,2023-08-28,1,7540.98,2.0,1.0,0.0,126,4,1,3,8,New
Guest_001317,2023-07-18,1,3193.75,1.0,1.0,0.0,167,4,1,1,6,New
Guest_001318,2023-09-25,1,5245.87,1.0,4.0,0.5,98,5,1,2,8,New
Guest_001327,2022-09-24,1,3876.88,1.0,4.0,0.0,464,2,1,1,4,Lapsed
Guest_001331,2023-07-16,1,7288.65,2.0,1.0,0.0,169,4,1,3,8,New
Guest_001334,2022-10-31,1,3582.66,1.0,2.0,0.0,427,2,1,1,4,Lapsed
Guest_001341,2023-01-31,1,9982.29,3.0,2.0,0.0,335,3,1,4,8,New
Guest_001342,2022-08-27,1,9282.54,2.0,1.0,0.0,492,2,1,3,6,Lapsed
Guest_001347,2022-03-11,1,7953.19,2.0,2.0,0.0,661,1,1,3,5,Lapsed
Guest_001356,2023-09-30,1,4104.15,1.0,0.0,0.0,93,5,1,2,8,New
Guest_001359,2023-12-05,2,11389.75,1.5,1.5,0.0,27,5,5,4,14,VIP
Guest_001360,2023-07-01,1,15998.8,4.0,0.0,0.0,184,4,1,5,10,New
Guest_001365,2022-12-14,1,3458.75,1.0,1.0,0.0,383,3,1,1,5,New
Guest_001369,2022-03-09,1,11261.6,4.0,4.0,0.0,663,1,1,4,6,Lapsed
Guest_001376,2023-01-21,1,8240.0,2.0,0.0,0.0,345,3,1,3,7,New
Guest_001386,2022-04-09,1,5260.09,1.0,0.0,0.0,632,1,1,2,4,Lapsed
Guest_001388,2023-04-21,2,25976.760000000002,2.5,1.0,0.3333333333333333,255,4,5,5,14,VIP
Guest_001393,2023-07-06,1,6834.08,2.0,2.0,0.0,179,4,1,2,7,New
Guest_001395,2023-09-30,1,8223.53,2.0,3.0,0.0,93,5,1,3,9,New
Guest_001409,2022-05-16,1,5779.89,2.0,0.0,0.0,595,1,1,2,4,Lapsed
Guest_001415,2022-12-03,1,19047.13,3.0,0.0,0.0,394,3,1,5,9,New
Guest_001423,2022-12-24,1,7362.79,2.0,2.0,0.0,373,3,1,3,7,New
Guest_001431,2022-10-12,1,11262.32,3.0,1.0,0.0,446,2,1,4,7,Lapsed
Guest_001434,2023-08-05,1,12358.58,3.0,0.0,0.5,149,4,1,4,9,New
Guest_001439,2023-01-17,1,10814.85,4.0,1.0,0.0,349,3,1,4,8,New
Guest_001453,2022-09-03,2,26164.86,3.0,0.5,0.0,485,2,5,5,12,At Risk
Guest_001454,2023-03-28,1,13408.77,4.0,1.0,0.0,279,3,1,4,8,New
Guest_001464,2023-03-12,1,10887.88,3.0,0.0,0.0,295,3,1,4,8,New
Guest_001468,2023-06-24,1,18621.12,5.0,1.0,0.0,191,4,1,5,10,New
Guest_001472,2023-03-07,1,11385.29,3.0,1.0,0.0,300,3,1,4,8,New
Guest_001473,2023-12-07,1,3023.23,1.0,1.0,0.0,25,5,1,1,7,New
Guest_001487,2023-04-05,1,3750.97,1.0,0.0,0.0,271,3,1,1,5,New
Guest_001499,2023-09-22,1,4451.45,1.0,0.0,0.0,101,5,1,2,8,New
Guest_001510,2023-06-09,1,19760.33,5.0,1.0,0.0,206,4,1,5,10,New
Guest_001518,2023-07-11,2,20563.33,3.0,2.0,0.0,174,4,5,5,14,VIP
Guest_001520,2022-04-22,2,20732.32,2.5,1.0,0.0,619,1,5,5,11,At Risk
Guest_001524,2023-11-05,1,8281.66,2.0,3.0,0.0,57,5,1,3,9,New
Guest_001528,2023-10-06,1,23368.58,5.0,1.0,0.0,87,5,1,5,11,New
Guest_001531,2023-01-03,1,3267.94,1.0,3.0,0.0,363,3,1,1,5,New
Guest_001532,2023-03-15,1,5752.34,2.0,2.0,0.0,292,3,1,2,6,New
Guest_001541,2023-01-25,1,13078.46,4.0,0.0,0.0,341,3,1,4,8,New
Guest_001543,2022-09-11,1,10367.01,3.0,5.0,0.0,477,2,1,4,7,Lapsed
Guest_001544,2023-11-22,1,7424.73,2.0,0.0,0.0,40,5,1,3,9,New
Guest_001545,2023-04-23,1,20071.52,5.0,1.0,0.5,253,4,1,5,10,New
Guest_001548,2022-09-30,1,14480.59,3.0,1.0,0.0,458,2,1,4,7,Lapsed
Guest_001549,2023-04-04,1,21668.81,5.0,0.0,0.0,272,3,1,5,9,New
Guest_001555,2022-09-13,1,22567.31,6.0,2.0,0.0,475,2,1,5,8,Lapsed
Guest_001559,2022-07-08,1,10947.44,2.0,0.0,0.0,542,2,1,4,7,Lapsed
Guest_001561,2023-12-02,1,7038.12,2.0,3.0,0.0,30,5,1,3,9,New
Guest_001567,2022-11-28,1,6715.59,2.0,5.0,0.0,399,3,1,2,6,New
Guest_001570,2023-06-04,1,4616.14,1.0,1.0,0.0,211,4,1,2,7,New
Guest_001573,2022-03-12,1,5538.58,1.0,4.0,0.0,660,1,1,2,4,Lapsed
Guest_001582,2022-08-04,1,13652.44,4.0,1.0,0.0,515,2,1,4,7,Lapsed
Guest_001590,2022-08-05,1,19199.54,5.0,4.0,0.0,514,2,1,5,8,Lapsed
Guest_001598,2023-03-19,1,7959.5,2.0,1.0,0.0,288,3,1,3,7,New
Guest_001606,2022-12-23,1,4413.88,1.0,0.0,0.0,374,3,1,2,6,New
Guest_001608,2023-04-14,1,12491.27,2.0,2.0,0.0,262,4,1,4,9,New
Guest_001620,2022-08-30,1,8163.75,2.0,2.0,0.0,489,2,1,3,6,Lapsed
Guest_001640,2022-09-15,1,3535.83,1.0,1.0,0.5,473,2,1,1,4,Lapsed
Guest_001642,2022-11-27,3,25342.26,2.3333333333333335,2.0,0.0,400,3,5,5,13,VIP
Guest_001649,2023-04-14,1,12257.41,3.0,0.0,0.0,262,4,1,4,9,New
Guest_001663,2023-04-24,1,14983.4,4.0,4.0,0.0,252,4,1,4,9,New
Guest_001666,2023-07-19,1,10740.91,3.0,2.0,0.0,166,4,1,4,9,New
Guest_001675,2023-03-04,1,15772.65,3.0,0.0,0.0,303,3,1,5,9,New
Guest_001683,2023-04-17,1,11150.7,3.0,1.0,0.0,259,4,1,4,9,New
Guest_001690,2023-12-13,1,11511.9,3.0,0.0,0.0,19,5,1,4,10,New
Guest_001696,2022-02-06,1,4008.68,1.0,1.0,0.5,694,1,1,2,4,Lapsed
Guest_001703,2022-12-11,2,18345.5,2.5,1.5,0.0,386,3,5,5,13,VIP
Guest_001705,2023-08-24,1,2910.75,1.0,2.0,0.0,130,4,1,1,6,New
Guest_001713,2023-10-11,1,3529.11,1.0,2.0,0.5,82,5,1,1,7,New
Guest_001731,2022-10-13,1,3363.44,1.0,0.0,0.0,445,2,1,1,4,Lapsed
Guest_001733,2022-10-24,1,3322.41,1.0,0.0,0.0,434,2,1,1,4,Lapsed
Guest_001740,2022-08-20,1,3848.26,1.0,5.0,0.5,499,2,1,1,4,Lapsed
Guest_001742,2022-10-21,1,18476.53,5.0,0.0,0.0,437,2,1,5,8,Lapsed
Guest_001747,2023-08-16,1,7646.76,2.0,1.0,0.0,138,4,1,3,8,New
Guest_001748,2023-04-21,2,15730.18,2.0,1.0,0.0,255,4,5,5,14,VIP
Guest_001750,2022-09-10,1,7969.92,2.0,3.0,0.0,478,2,1,3,6,Lapsed
